album_name,song_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1989 (Deluxe Edition),Blank Space - Voice Memo,2014-10-27,36,0.675,0.234,5,-15.064,0,0.721,0.801,0.0,0.657,0.578,127.296,131187,4
reputation,...Ready For It?,2017-11-10,87,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,208187,4
reputation,End Game,2017-11-10,81,0.649,0.589,2,-6.237,1,0.0558,0.00845,0.0,0.108,0.151,159.073,244827,4
reputation,I Did Something Bad,2017-11-10,82,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253,4
reputation,Don’t Blame Me,2017-11-10,91,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
reputation,Delicate,2017-11-10,87,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4
reputation,Look What You Made Me Do,2017-11-10,87,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,4
reputation,So It Goes...,2017-11-10,76,0.574,0.61,2,-7.283,1,0.0732,0.122,1.1e-06,0.13,0.374,74.957,227907,4
reputation,Gorgeous,2017-11-10,82,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680,4
reputation,Getaway Car,2017-11-10,86,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627,4
reputation,King Of My Heart,2017-11-10,79,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,214320,4
reputation,Dancing With Our Hands Tied,2017-11-10,78,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,211507,4
reputation,Dress,2017-11-10,81,0.719,0.469,0,-8.792,1,0.0533,0.0329,0.0,0.169,0.0851,120.085,230373,4
reputation,This Is Why We Can't Have Nice Things,2017-11-10,77,0.567,0.789,5,-5.986,1,0.115,0.0156,0.0,0.382,0.438,163.96,207133,4
reputation,Call It What You Want,2017-11-10,81,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,4
reputation,New Year’s Day,2017-11-10,77,0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,235467,4
Lover,I Forgot That You Existed,2019-08-23,77,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4
Lover,Cruel Summer,2019-08-23,99,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
Lover,Lover,2019-08-23,93,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
Lover,The Man,2019-08-23,87,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4
Lover,The Archer,2019-08-23,83,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,4
Lover,I Think He Knows,2019-08-23,78,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,4
Lover,Miss Americana & The Heartbreak Prince,2019-08-23,84,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,4
Lover,Paper Rings,2019-08-23,85,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4
Lover,Cornelia Street,2019-08-23,80,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4
Lover,Death By A Thousand Cuts,2019-08-23,78,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071,198533,4
Lover,London Boy,2019-08-23,80,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,4
Lover,Soon You’ll Get Better (feat. The Chicks),2019-08-23,72,0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,201587,4
